url,page_type,intent,role,cta,cta_href,must_preserve
https://www.algolia.com/about/news/20vc-nicolas-dessaigne-founder-ceo-algolia,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com,homepage,evaluate,conversion,Get a demo,https://www.algolia.com/demorequest,true
https://www.algolia.com/about/news/6eme-rapport-annuel-d-algolia-sur-la-recherche-e-commerce-les-investissements,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/ai-search-and-retrieval-leader-algolia-releases-six-bold-bets-for-2026,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news,press-release,learn,trust-building,Get a demo,https://www.algolia.com/demorequest,true
https://www.algolia.com/about,company,learn,trust-building,Get a demo,https://www.algolia.com/demorequest,true
https://www.algolia.com/about/news/20-time-champion-ranked-a-leader-in-g2s-enterprise-grid-report-for-e-commerce-search,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/6-best-practices-to-increase-work-force-engagement,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/Algolia-powers-29-billion-searches-during-cyber-weekend-2024,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/leadership,company,learn,trust-building,Get a demo,https://www.algolia.com/demorequest,true
https://www.algolia.com/about/news/4-upgrades-to-your-business-that-will-change-you-and-your-customers-lives,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/1-7bn-lost-by-online-retailers-as-shoppers-struggle-to-search-for-latest-fashion-trends,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/ai-search-innovator-algolia-honored-with-prestigious-microsoft-france-isv-partner-of-the-year-award,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-its-2nd-annual-developer-conference-devcon-2023,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-winter-20-with-search-experience-management-to-help-business-users-grow-revenues-by-30,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-adds-three-key-executives-to-continue-hypergrowth,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-advances-api-first-software-development-valuation-soars-to-2-25-billion-with-150-million-series-d-funding,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-acquires-morphl-launches-ai-powered-predictive-experiences-and-personalization,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-2025-awards-wrap-up,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-adds-1-000-new-customers-in-first-half-of-2020-rising-to-search-discovery-needs-amidst-unprecedented-digital-adoption,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-global-expansion-into-japan,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-availability-of-artificial-intelligence-based-recommendation-api-algolia-recommend-1,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-general-availability-of-ai-powered-search-products,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-announces-integration-with-stripe-projects,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-appoints-ashley-stirrup-as-chief-marketing-officer,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-ceo-bernadette-nixon-wins-stevie-award,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-brings-agentic-commerce-to-the-modern-storefront,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-awarded-coveted-aws-retail-competency-status,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-boosts-paul-shark-s-search-revenue-by-15-in-first-month,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-appoints-jean-louis-baffier-as-chief-revenue-officer-to-support-rapid-corporate-growth-and-momentum,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-boosts-browse-with-ai-powered-collections,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-boosts-revival-animal-health-s-revenue-conversion-by-12-with-ai-powered-search,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-appoints-stephen-lynch-as-chief-executive-officer,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-appoints-sean-mullaney-as-new-chief-technology-officer,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-boosts-conversions-for-easy24-eb2b-platform,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-appoints-peter-minev-as-senior-vice-president-of-engineering,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-ceo-to-host-panel-at-nrf-2025,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-clinches-2025-gold-hermes-creative-award,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-collaborates-with-firebase-to-offer-database-search,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-collaborates-with-microsoft-to-drive-real-time-product-data-to-shopping-experiences,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-delivers-forrester-total-economic-impact-study,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-completes-bumper-year-with-30-prestigious-industry-awards-including-forbes-cloud-100-inc-5000-salesforce-and-more,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-ceo-wins-stevie-award-for-women-in-business-for-second-consecutive-year,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-chief-executive-officer-to-speak-at-etail-boston-2025,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-chief-ecosystem-officer-at-adobe-summit-2026,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
https://www.algolia.com/about/news/algolia-ceo-wins-stevie-award,press-release,learn,trust-building,Get started,https://dashboard.algolia.com/users/sign_up,true
